date,donee,donee_url,description,program_area,focus,amount
05/2006,Jewish Vocational Service,http://www.jvs-boston.org,To provide skills training and assistance in securing and retaining employment to women living in transitional housing.,Job Opportunities,,"$35,000"
05/2006,Junta for Progressive Action,http://www.juntainc.org,To provide low-income Latina women with an opportunity to start a sustainable income-generating enterprise that will help them reach self-sufficiency.,Job Opportunities,,"$25,000"
05/2006,Massachusetts Public Health Association,http://www.mphaweb.org,"To achieve fundamental reform in Massachusetts policymaking and regulation on chemical use-stressing prevention of harm to public health and the environment-by building a broad statewide coalition representing health-affected, medical, organized labor, environmental, and faith communities that generates grassroots advocacy.",Environment,,"$20,000"
05/2006,Minuteman Media,,To inform small-town and rural residents in Ohio about environmental policy issues through the opinion pages of their local newspapers.,Environment,,"$25,000"
05/2006,National Women’s Law Center,http://www.nwlc.org,"To expand and protect insurance coverage of contraceptives using litigation, research, policy analysis, public education, coalition building and media outreach.",Reproductive Health,,"$50,000"
05/2006,New York City Employment and Training Coalition,http://www.nycetc.org,"To organize community-based organizations, community colleges, and other coalition members to advocate for more effective workforce development and welfare-to-work policies.",Job Opportunities,,"$40,000"
05/2006,Pioneer Valley Rebuilders CDC,http://www.PVRebuildersCDC.org,"To prepare and place nine ex-offenders in entry-level, living wage jobs in construction.",Job Opportunities,,"$45,000"
05/2006,Science Communication Network,http://www.sciencecommunicationnetwork.org/,To broaden and deepen accurate media coverage of environmental health science and policy issues.,Environment,,"$40,000"
05/2006,Snake River Alliance Education Fund,http://www.snakeriveralliance.org,"To conduct research, education, and community advocacy to protect Idaho’s people, water and economy by promoting responsible cleanup of nuclear waste and contamination.",Environment,,"$40,000"
05/2006,STRIVE Boston Employment Service,http://www.bostonstrive.org,To place ex-offenders from the Suffolk House of Corrections and the Roxbury STRIVE program in jobs.,Job Opportunities,,"$65,000"
05/2006,University of Vermont Institute for Artisan Cheese,http://www.nysaes.cornell.edu/necfe,To promote visibility and strengthening viability of the Vermont Institute for Artisan Cheese through enhanced public relations.,Environment,,"$35,000"
05/2006,World Resources Institute,http://www.wri.org/wri,To support the adoption and implementation of progressive climate change policies by demonstrating that major companies can thrive in a carbon-constrained economy.,Environment,,"$70,000"
04/2006,California Institute of Techology,,To support research by John Merck Scholar finalist John O’Doherty.,Developmental Disabilities,John Merck Scholars I Program,"$10,000"
04/2006,Stanford University,,To support research by John Merck Scholar Anna Penn on the impact of placental hormones on brain development in the premature neonate.,Developmental Disabilities,John Merck Scholars I Program,"$300,000"
04/2006,"University of California, Berkeley",,To support research by John Merck Scholar Kristin Scott on the modulation of taste perception by hunger.,Developmental Disabilities,John Merck Scholars I Program,"$300,000"
04/2006,University of Pennsylvania,,To support research by John Merck Scholar finalist Sara Jaffee.,Developmental Disabilities,John Merck Scholars I Program,"$10,000"
04/2006,Yale University Child Study Center,,To support research by John Merck Scholar Kevin Pelphrey on charting normal and abnormal development of the social brain.,Developmental Disabilities,John Merck Scholars I Program,"$300,000"
04/2006,Human Rights First,http://www.humanrightsfirst.org,To hire a senior lawyer for the US Law and Security Program.,Defense of the Public Interest,,"$107,000"
03/2006,National Environmental Trust,http://www.environet.org,To advance and defend federal environmental protections through issue-based national campaigns.,Environment,,"$15,000"
02/2006,Physicians for Human Rights,http://www.phrusa.org,To promote and protect human rights around the world by mobilizing health care professionals.,International Human Rights,,"$150,000"
02/2006,Abortion Access Project,http://www.abortionaccess.org,To increase access to abortion services by developing new abortion providers and developing clinical training sites for primary care physicians.,Reproductive Health,,"$225,000"
02/2006,Answer,http://www.sexetc.org,"To provide teens with medically accurate, straightforward information about sexuality produced by teens; and to mobilize teens in support of comprehensive sexuality education.",Reproductive Health,,"$75,000"
02/2006,Asociacion Pro Derechos Humanos,http://www.aprodeh.org.pe,"To promote and protect human rights in Peru, focusing on legal mechanisms.",International Human Rights,,"$90,000"
02/2006,Autism Society,http://www.autism-society.org,To expand awareness within the autism and developmental disabilities communities about the links between autism spectrum disorders and exposure to chemicals in the environment; and to foster their involvement in relevant policy advocacy.,Environment,,"$100,000"
02/2006,Center for International Environmental Law,http://www.ciel.org,"To protect the environment and human health and to promote human rights and environmental justice by seeking reforms of international economic law, policy and institutions.",Environment,,"$60,000"
02/2006,Christian Community Action,http://www.ccahelping.org,To help poor and homeless individuals in New Haven’s Hill neighborhood become financially self-sufficient.,Job Opportunities,,"$26,000"
02/2006,Citizens’ Environmental Coalition,http://www.cectoxic.org,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$80,000"
02/2006,Clean Energy Group,http://www.cleanegroup.org,To facilitate a network of large institutional investors to consider investment strategies for clean energy technologies.,Environment,,"$80,000"
02/2006,Collaborative Environment Campaigns,,"To help the national environmental community educate the public, press and decisionmakers about anti-environmental initiatives and promote pro-environmental policies.",Environment,,"$250,000"
02/2006,Columbia University Center for the Study of Human Rights,http://www.ccceh.org,To support the participation of young Mexican human rights professionals in the Advocates Program at the Center for the Study of Human Rights.,International Human Rights,,"$40,000"
02/2006,Consultative Group on Biological Diversity,http://www.cgbd.org,To provide general support.,Environment,,"$10,000"
02/2006,Cornell University Weill Medical College,,To conduct the 2006 summer institute on the biology of developmental disabilities.,Developmental Disabilities,John Merck Scholars I Program,"$65,500"
02/2006,Environmental Health Fund,http://www.environmentalhealthfund.org,"To instigate a global shift away from chemicals that harm health and the environment by serving as a strategist, coordinator, convener and fundraiser for key market and policy campaigns that grassroots networks and the foundation community undertake.",Environment,,"$75,000"
02/2006,Food Works at Two Rivers Center for Sustainability,http://www.tworiverscenter.org,"To further develop a food distribution system linking area farmers to schools and programs that feed needy Vermonters; and to increase public awareness of the role local farmers play in creating healthy citizens and healthy communities.  This grant is restricted to the marketing, ordering and distribution activities of the Farm to Table program.",Environment,,"$95,000"
02/2006,Healthy Schools Network,http://www.healthyschools.org,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$5,000"
02/2006,Healthy Teen Network,http://www.healthyteennetwork.org,"To increase access to reproductive health services for adolescents, thereby reducing the rate of unintended pregnancies and sexually transmitted diseases.",Reproductive Health,,"$50,000"
02/2006,Human Rights First,http://www.humanrightsfirst.org,"To promote human rights around the world, emphasizing US civil liberties, refugee protection, international justice, anti-discrimination and promoting and protecting human rights defenders.",International Human Rights,,"$150,000"
02/2006,Human Rights First,http://www.humanrightsfirst.org,To support the Pennoyer Human Rights Fellowships.,International Human Rights,,"$130,000"
02/2006,Human Rights Watch,http://www.hrw.org,To provide emergency assistance to human rights activists around the world.,International Human Rights,,"$25,000"
02/2006,Huntington Breast Cancer Action Coalition,http://www.hbcac.org,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$10,000"
02/2006,Institute for Children’s Environmental Health,http://www.iceh.org,To increase public awareness and discourse about environmental health issues by providing scientific information and linking key research to practitioners and health-affected groups; and to shed light on the links between environmental exposures and developmental and learning disabilities.,Environment,,"$100,000"
02/2006,Learning Disabilities Association of New York State,http://www.ldanys.org,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$6,500"
02/2006,Legal Momentum,http://www.legalmomentum.org,To explore possible legal responses to government-funded abstinence-only-until-marriage education programs.,Reproductive Health,,"$50,000"
02/2006,Massachusetts Climate Action Network,http://www.massclimateaction.net,"To continue developing the grassroots constituency for climate protection in Massachusetts, primarily through the Cities for Climate protection campaign; and to use the participation of local leaders to press for stronger climate protection policies at the state and regional levels.",Environment,,"$25,000"
02/2006,National Network of Abortion Funds,http://www.fundabortionnow.org,To promote pharmacy access to emergency contraception through support for small state projects.,Reproductive Health,,"$50,000"
02/2006,New York Public Interest Research Group Fund,http://www.nypirg.org,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$15,000"
02/2006,"Oceana, Inc.",http://www.oceana.org,"To stimulate a shift away from the use of mercury in the US manufacture of chlorine, and to defend the European Union’s phaseout already planned for 2007.",Environment,,"$50,000"
02/2006,Physicians for Reproductive Choice and Health,http://www.prch.org,"To train physicians and other adolescent health care providers on the best practices in adolescent reproductive health care, including what services clinicians can legally and confidentially provide.",Reproductive Health,,"$50,000"
02/2006,Planned Parenthood of Northern New England,http://www.ppnne.org,"To foster more open, honest, and balanced conversations about sexuality and reproductive health among teens and their parents in Portland, Maine.",Reproductive Health,,"$50,000"
02/2006,Programa Venezolano de Educacion-Accion en Derechos Humanos,http://www.derechos.org.ve,"To promote human rights and democracy in Venezuela through investigation of violations, public education, and documentation.",International Human Rights,,"$89,500"
02/2006,Rochesterians Against the Misuse of Pesticides,,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$5,000"
02/2006,SIECUS (Sexuality Information & Education Council of the US),http://www.siecus.org,"To secure and protect the sexual and reproductive health and rights of people in the US, using education and advocacy.",Reproductive Health,,"$65,000"
02/2006,St. Francis House,http://www.stfrancishouse.org,"To strengthen current on-site training program at Clarks Shoes, and recruit two additional companies to host on-site training centers.",Job Opportunities,,"$40,000"
02/2006,Toxic Waste/Lupus Coalition,http://www.toxicwastelupuscoalition.org,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$8,000"
02/2006,University of California San Francisco Bixby Center for Reproductive Health Research & Policy,http://http://reprohealth.ucsf.edu/,"To demonstrate the role and value of advanced practice clinicians in providing early aspiration abortion, and to train 50-55 clinicians in California in the technique.",Reproductive Health,,"$75,000"
02/2006,Vital Communities,http://www.vitalcommunities.org,"To build a community-driven, local food system by fostering productive relationships between farmers, retail grocers, wholesalers, restaurants, institutions, and local consumers.",Environment,,"$75,000"
02/2006,West Harlem Environmental Action,http://www.weact.org,"To participate in the Alliance for a Toxic-Free Future, which works to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$6,500"
02/2006,Western New York Council on Occupational Safety and Health,http://www.coshnetwork.org/WNYCOSH.htm,"To participate in the Alliance for a Toxic-Free Future, which works to to phase out the production, use, release, and disposal of persistent toxic chemicals in New York State, through policy reforms and market shifts to safer substitutes.",Environment,,"$14,000"
12/2005,Human Rights Watch,http://www.hrw.org,"To provide emergency travel, living, accompaniment and other expenses for five Uzbek human rights advocates who have suffered torture or threats by the government.",International Human Rights,,"$8,000"
12/2005,National Family Farm Coalition,,To build a regional farmer-base campaign on GMO issues in the Northeast.,Environment,,"$15,000"
12/2005,Vermont Maple Sugar Makers Association,,To educate the public about Vermont maple syrup and to provide marketing and other training and assistance to Vermont maple farmers/producers.,Environment,,"$15,000"
12/2005,Bellows Falls Community Market Exploratory Committee,,To develop a community market supporting local agriculture in downtown Bellows Falls.,Environment,,"$5,000"
12/2005,Consultative Group on Biological Diversity,http://www.cgbd.org,To support the Health and Environment Funders Network and to support the network’s Catalysts for a Healthy Future Collaborative.,Environment,,"$7,500"
12/2005,Environmental Health Fund,http://www.environmentalhealthfund.org,To retain Monica Buckhorn to assist with the launch of chemicals policy reform campaigns in Connecticut and New York.,Environment,,"$10,000"
12/2005,Natural Resources Defense Council,http://www.nrdc.org,To develop a communications plan to encourage the Northeast governors to finalize the agreement for a regional global warming policy to reduce power plant pollution.,Environment,,"$10,000"
12/2005,Unitarian Universalist Association,http://www.uua.org/uuawo,To educate and mobilize young people and adults to promote comprehensive sexuality education.,Reproductive Health,,"$10,000"
12/2005,ACCION USA,http://www.accionusa.org,To enable ACCION USA applicants to improve their credit scores and financial knowledge; and to help microentrepreneurs to achieve long-term business success and stability.,Job Opportunities,,"$50,000"
12/2005,Advocates for Youth,http://www.advocatesforyouth.org,To promote adolescent access to and awareness of emergency contraception.,Reproductive Health,,"$50,000"
12/2005,Alliance for Justice,http://www.afj.org,To conduct a public education media campaign utilizing television and print advertising and the Internet to highlight the debate around the nomination of Samuel Alito to the Supreme Court.,Defense of the Public Interest,,"$50,000"
12/2005,American Association on Intellectual and Developmental Disabilities,http://www.aamr.org,To raise awareness within the developmental disabilities community about the links between chemical exposures and preventable disabilities.,Environment,,"$200,000"
12/2005,Breast Cancer Fund,http://www.breastcancerfund.org,To strengthen and develop policies for eliminating and cleaning up persistent toxic chemicals in the State of Washington.,Environment,,"$32,500"
12/2005,CARES of Mississippi,http://www.caresms.org,To address the need for skilled workers in reviving the Gulf Coast shipbuilding industry in the wake of Hurricanes Katrina and Rita.,,,"$20,000"
12/2005,Center for Justice and International Law,http://www.cejil.org,To promote and protect human rights in Latin America by litigating cases and providing training to human rights advocates.,International Human Rights,,"$100,000"
12/2005,Center for Reproductive Rights,http://www.reproductiverights.org,"To use legal strategies to protect women’s access to reproductive rights and health, and to strengthen the intellectual framework of reproductive rights in the United States.",Reproductive Health,,"$150,000"
12/2005,"Centro de Derecho, Justicia y Sociedad",http://www.djs.org.co,"To promote human rights and the rule of law in Colombia using research, analysis, advocacy, training and information dissemination.",International Human Rights,,"$84,500"
12/2005,Clean Water Fund,http://www.cleanwaterfund.org,To prevent human exposure to mercury through the virtual elimination of mercury emissions in New England by 2010.,Environment,,"$94,000"
12/2005,Commonweal,http://www.commonweal.org,To use biomonitoring as a scientific tool that protects human and ecosystem health and informs chemicals policy.,Environment,,"$75,000"
12/2005,Connecticut Fund for the Environment,http://http://www.ctenvironment.org/,"To generate support for a clean cars program in Connecticut that includes real and powerful incentives for consumers to purchase cleaner cars, and creates an income stream for diesel pollution reduction.",Environment,,"$50,000"
12/2005,Enterprise Corporation of the Delta,http://www.ecd.org,"To provide business recovery loans, nonprofit recovery loans and loans to individuals affected by Hurricane Katrina through the Hope Credit Union.",,,"$40,000"
12/2005,Environmental Health Strategy Center,http://www.CleanAndHealthyME.org,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$100,000"
12/2005,Federation of Southern Cooperatives Land Assistance Fund,http://www.federationsoutherncoop.com,To assist farmers and rural poor people affected by Hurricane Katrina.,,,"$85,000"
12/2005,Human Rights Watch,http://www.hrw.org,"To defend human rights through in-depth research and advocacy with local, national and international government policymakers, nongovernmental organizations and the media.",International Human Rights,,"$150,000"
12/2005,Institute for Social Ecology,http://www.nerage.org/www.biodev.org,"To expand public awareness and increase debate about genetic engineering in Maine, Massachusetts and New Hampshire through grassroots organizing that promotes municipal bans.",Environment,,"$25,000"
12/2005,Learning Disabilities Association of Maine,http://www.ldame.org,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$25,000"
12/2005,"Maine Centers for Women, Work, and Community",,To build capacity of rural entrepreneurs to establish networks and improve their business success by giving them access to technology and technology skills.,Job Opportunities,,"$50,000"
12/2005,Maine Organic Farmers and Gardeners Association,http://www.mofga.org,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$19,000"
12/2005,Maine People’s Resource Center,http://www.mainepeoplesalliance.org,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$25,000"
12/2005,Maine Public Health Association,http://www.mcph.org/mpha/MPHAindex.html,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$76,500"
12/2005,Mercury Policy Project,http://www.mercurypolicy.org,To prevent human exposure to mercury through the virtual elimination of mercury emissions in New England by 2010.,Environment,,"$18,500"
12/2005,National Security Archive Fund,http://www.nsarchive.org,To assist Latin American human rights organizations in accessing documents relating to human rights violations using freedom of information mechanisms.,International Human Rights,,"$80,000"
12/2005,National Wildlife Federation,http://www.nwf.org,To prevent human exposure to mercury through the virtual elimination of mercury emissions in New England by 2010.,Environment,,"$18,500"
12/2005,Natural Resources Council of Maine,http://www.nrcm.org,To prevent human exposure to mercury through the virtual elimination of mercury emissions in New England by 2010.,Environment,,"$18,500"
12/2005,Natural Resources Council of Maine,http://www.nrcm.org,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$24,000"
12/2005,New Hampshire Community Loan Fund,http://https://www.communityloanfund.org/,"To enable Quality Care Partners to improve its retention strategy, encourage staff development, and improve state programs for home care workers.",Job Opportunities,,"$60,000"
12/2005,Northeast Organic Farming Association of Vermont,http://www.nofavt.org,"To provide technical assistance, document best practices, analyze the economic and social value of farmers’ markets, exchange valuable information, pilot the “rapid market assessment” tool, and build the farmers’ market network.",Environment,,"$35,000"
12/2005,Penquis Community Action Program,http://www.penquiscap.org,"To increase business knowledge and planning in the short term, leading to job creation and increased profitability in the long term.",Job Opportunities,,"$30,000"
12/2005,People for Puget Sound,http://www.pugetsound.org,To strengthen and develop policies for eliminating and cleaning up persistent toxic chemicals in the State of Washington.,Environment,,"$32,500"
12/2005,Physicians for Social Responsibility of Maine,http://http://www.psr.org/chapters/maine/?referrer=https://www.google.com/,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$18,000"
12/2005,Proteus Fund,http://www.proteusfund.org,To launch an organizing campaign that brings together key Maine nonprofit and community leaders to rebuild the power of progressive social change organizations in the state.,Civic Engagement,,"$100,000"
12/2005,Religious Coalition for Reproductive Choice,http://www.rcrc.org,To integrate sexuality education into religious education in Hispanic churches.,Reproductive Health,,"$25,000"
12/2005,Reproductive Health Technologies Project,http://www.rhtp.org,To promote increased access to emergency contraception in the United States.,Reproductive Health,,"$50,000"
12/2005,Rockefeller Philanthropy Advisors,,"To support projects that engage, empower and benefit displaced residents from Hurricanes Katrina and Rita in the sustainable and just rebuilding of neighborhoods, cities and the Gulf Coast region.",,,"$85,000"
12/2005,Rose Foundation for Communities and The Environment,http://www.rosefdn.org,To induce companies to accelerate substitution of safer chemicals in consumer products by building the business case and generating investor demand for eliminating toxic chemicals that affect human health.,Environment,,"$75,000"
12/2005,Rural Vermont,http://www.ruralvermont.org,To provide general support.,Environment,,"$25,000"
12/2005,Science and Environmental Health Network,http://www.sehn.org,To continue advancing the precautionary principle by facilitating its adoption at state and local levels.,Environment,,"$60,000"
12/2005,Toxics Action Center,http://www.toxicsaction.org,"To promote reforms in Maine that phase out the unnecessary use of the entire class of persistent, bioaccumulative toxic chemicals.",Environment,,"$12,500"
12/2005,Union of Concerned Scientists,,"To help implement a range of cutting-edge renewable, climate and other energy policies that have been enacted over past several years.",Environment,,"$50,000"
12/2005,Universidad de Chile Centro de Derechos Humanos,http://www.cdh.uchile.cl,"To strengthen human rights and democracy in Latin America by building the capacity of lawyers, human rights advocates, government officials and journalists.",International Human Rights,,"$90,000"
12/2005,Vermont Fresh Network,http://www.vermontfresh.net,To improve Vermont Fresh Network’s ability to increase consumer demand for locally grown food.,Environment,,"$65,000"
12/2005,Washington Office on Latin America,http://www.wola.org,"To promote human rights and democracy in Latin America, with a particular emphasis on improving US policy in the region.",International Human Rights,,"$75,000"
12/2005,Washington Physicians for Social Responsibility,http://www.wpsr.org,To strengthen and develop policies for eliminating and cleaning up persistent toxic chemicals in the State of Washington.,Environment,,"$22,000"
12/2005,Washington Public Interest Research Group Foundation,http://www.washpirg.org,To strengthen and develop policies for eliminating and cleaning up persistent toxic chemicals in the State of Washington.,Environment,,"$18,000"
12/2005,Washington State Nurses Association,http://ww.wsna.org,To strengthen and develop policies for eliminating and cleaning up persistent toxic chemicals in the State of Washington.,Environment,,"$20,000"
12/2005,Washington Toxics Coalition,http://www.watoxics.org,To strengthen and develop policies for eliminating and cleaning up persistent toxic chemicals in the State of Washington.,Environment,,"$125,000"
11/2005,Food Works at Two Rivers Center for Sustainability,http://www.tworiverscenter.org,To develop a local food distribution network for locally grown produce and plan for future program and funding needs.,Environment,,"$15,000"
11/2005,Maine Development Foundation,http://www.mdf.org,To produce a workforce development map with policy recommendations that will educate and inform policymakers and the public about the workforce development system.,Job Opportunities,,"$25,000"
11/2005,New Orleans Musicians Clinic Emergency Fund,http://www.jazzfoundation.org,To provide emergency health care services to New Orleans musicians affected by Hurricane Katrina.,,,"$10,000"
11/2005,Comision Colombiana de Juristas,,To provide general support.,International Human Rights,,"$15,000"
11/2005,National Wildlife Federation,,To bring together environmental and public health advocates to share tactics and strategies on eliminating the use of mercury in products and controlling mercury emissions from coal-burning power plants.,Environment,,"$3,700"
10/2005,National Association for the Dually Diagnosed,http://www.thenadd.org,To provide travel assistance to parents and caregivers to the annual conference; and to provide general support.,Developmental Disabilities,,"$20,000"
09/2005,Human Rights Watch,http://www.hrw.org,To provide emergency support for threatened human rights advocates in Turkmenistan and Uzbekistan.,International Human Rights,,"$6,500"
09/2005,Environmental Health Strategy Center,http://www.CleanAndHealthyME.org,"To halt the release of 185,000 pounds of mercury that originated at the old HoltraChem plant in Maine.",Environment,,"$15,000"
09/2005,Acadia Center,http://www.acadiacenter.org/,"To implement regionally significant policies to further energy efficiency and sustainable energy policies in Connecticut and New England; to expand awareness and implement solutions to diesel engine emissions in Connecticut, Massachusetts and Rhode Island; and to participate in the Regional Greenhouse Gas Initiative.",Environment,,"$100,000"
09/2005,Alliance for Justice,http://www.afj.org,"To involve the public and the media in the process for selecting judges at all levels of the federal judiciary, and to support the US Senate in its advise and consent role in the judicial confirmation process.",Defense of the Public Interest,,"$125,000"
09/2005,American Civil Liberties Union Foundation,http://www.aclu.org,"To protect access to safe abortion procedures, contraceptives and sex education using litigation, advocacy and education.",Reproductive Health,,"$50,000"
09/2005,Appalachian Mountain Club,http://www.outdoors.org,"To participate with other members of the environmental community in developing state-based wind power siting policies in Massachusetts, Vermont, New Hampshire and Maine; to reduce conflicts created from commercial wind power proposals; and to provide guidance for wind developers in selecting locations with the least number of natural resource and public impacts.",Environment,,"$50,000"
09/2005,As You Sow,http://www.asyousow.org,"To persuade targeted companies to remove, reduce or label genetically engineered ingredients and foods in their product lines pending the results of long-term safety testing; and to increase transparency and public reporting of their testing procedures and results.",Environment,,"$35,000"
09/2005,Association of Reproductive Health Professionals,http://www.arhp.org,"To provide women access to better reproductive health care by educating health care professionals about early abortion techniques, particularly manual vacuum aspiration.",Reproductive Health,,"$50,000"
09/2005,Californians for GE-Free Agriculture,http://www.calgefree.org,To achieve state policies that protect farmers and the food supply from the introduction of hazardous genetically engineered crops.,Environment,,"$60,000"
09/2005,Center for Employment Opportunities,http://www.ceoworks.org,To increase employment retention rates and reduce re-incarceration for ex-prisoners in New York City.,Job Opportunities,,"$40,000"
09/2005,Center for Food Safety,http://www.centerforfoodsafety.org,To ensure appropriate safety testing and regulation of all genetically engineered crops and organisms as a condition of their commercialization.,Environment,,"$210,000"
09/2005,Center for Resource Solutions,http://www.resource-solutions.org,"To conduct an education and technical assistance project in Connecticut, Massachusetts and Rhode Island that will pool the renewable energy purchases of large businesses, local governments, colleges and universities.",Environment,,"$75,000"
09/2005,Clean Air Task Force,http://www.catf.us,To work with partner organizations in up to fourteen states to achieve a 75 percent reduction in US mobile diesel particulate emissions by 2020.,Environment,,"$350,000"
09/2005,Comision Colombiana de Juristas,,To use legal strategies for promoting and protecting human rights in Colombia.,International Human Rights,,"$100,000"
09/2005,Committee for the Preservation of Traditional Military Values,,To restore historic US practices and policies of humane treatment of detainees.,Defense of the Public Interest,,"$50,000"
09/2005,Conservation Law Foundation,http://www.clf.org,"To support CLF’s participation in the Regional Greenhouse Gas Initiative, which seeks to substantially reduce global warming pollution from power plants in nine northeastern states from current levels by 2020.  CLF will seek to convince governors to adopt strong rules in each New England state that advance the policy objectives of energy advocates, especially regarding consumer costs, energy efficiency, and carbon offsets.",Environment,,"$40,000"
09/2005,Ecology Center,http://www.ecocenter.org,To move major automobile manufacturers to use cleaner and safer forms of plastic in production processes by educating consumers about potential hazards associated with a range of chemicals inside cars; and to encourage policymakers and consumers to demand automobile production methods that have a more benign impact on human health.,Environment,,"$50,000"
09/2005,Equipo Argentino de Antropologia Forense,,To use forensic science techniques to promote human rights in Latin America; and to train scientists to conduct forensic human rights investigations.,International Human Rights,,"$150,000"
09/2005,Global Rights,http://www.globalrights.org,To combat racial discrimination and promote human rights for African descendants in Latin America.,International Human Rights,,"$75,000"
09/2005,Green Corps,http://www.greencorps.org,"To train at least one full-time aspiring leader in the skills, strategies and issues s/he needs to launch a career in the conservation field; provide grassroots support to campaigns; and inspire trainees and volunteers to deepen their commitment to protecting the environment.",Environment,,"$25,000"
09/2005,Learning Disabilities Association of America,http://www.ldaamerica.org,"To increase public awareness of preventable precursors to developmental disabilities, with an emphasis on exposures to hazardous chemicals in the environment; and to foster advocacy within the learning disabilities community in order to reduce those exposures.",Environment,,"$100,000"
09/2005,Maine People’s Resource Center,http://www.mainepeoplesalliance.org,To assist Maine citizens in holding state and federal regulatory agencies and corporate polluters accountable for the Penobscot River’s severe contamination from mercury and other pollutants.,Environment,,"$30,000"
09/2005,Massachusetts Workforce Alliance,,To increase the number of trained staff at education and training organizations and engage them in workforce development advocacy.,Job Opportunities,,"$40,000"
09/2005,Memoria Abierta,,"To help preserve the memory of Argentina’s period of state terrorism (the so-called “Dirty War”) and its impact throughout the country, focusing on strengthening the organization’s development and communications programs.",International Human Rights,,"$60,000"
09/2005,National Latina Institute for Reproductive Health,http://www.latinainstitute.org,To work with activists in key states to improve access to family planning and contraceptives for Latina women.,Reproductive Health,,"$40,000"
09/2005,National Women’s Law Center,http://www.nwlc.org,"To ensure that pharmacies do not deny women access to prescription contraceptives by citing personal, moral or religious objections; and that contraceptives are not singled out as optional elements of health care services.",Reproductive Health,,"$50,000"
09/2005,New England Climate Coalition,http://www.w2pirg@aol.com,To win concrete state policy reforms that will significantly reduce global warming pollution from the two largest contributing sectors in the region–motor vehicles and power plants; and to continue to broaden and deepen public support for abating climate change.,Environment,,"$200,000"
09/2005,Physicians for Social Responsibility-Greater Boston Chapter,http://www.psr.org/.Boston,To facilitate changes in medical practice so that information on preventing toxic exposures is routinely provided to parents of pediatric patients and to obstetrics patients; and to begin a report on connections between environmental exposures and neurological impacts at later life stages.,Environment,,"$100,000"
09/2005,Regulatory Assistance Project,http://www.raponline.org,To improve the design of the Regional Greenhouse Gas Initiative; to assist nine states in adopting the rules needed to implement the regional program; and to provide technical assistance to state officials and others to harmonize the carbon program with other policies related to the power sector’s environmental impact.,Environment,,"$40,000"
09/2005,Rockefeller Family Fund,http://www.environmentalintegrity.org,To provide general support.,Defense of the Public Interest,,"$50,000"
09/2005,Rural Advancement Foundation International-USA,http://www.rafiusa.org,To oppose the spread of genetically engineered agriculture and promote sustainable alternatives.,Environment,,"$50,000"
09/2005,SouthEnd Adults at Cathedral,http://www.SEACschool.org,To implement short and long-term strategies to help students attain meaningful employment.,Job Opportunities,,"$25,000"
09/2005,Tlachinollan Centro de Derechos Humanos de la Montana,http://www.tlachinollan.org,"To defend and promote human rights for indigenous people in the Costa Chica and Montaa regions of Guerrero, Mexico.",International Human Rights,,"$40,000"
09/2005,Toxics Action Center,http://www.toxicsaction.org,To reduce aerial pesticide spraying on the blueberry fields in Maine; establish Toxics Action Center’s Neighborhood Assistance Project in Rhode Island; and strengthen the citizen and organizational base in New Hampshire to fight toxic pollution.,Environment,,"$60,000"
09/2005,Universidad Diego Portales,http://www.udp.cl,"To publish the fourth annual report on human rights in Chile, which will be used to promote human rights within the country.",International Human Rights,,"$50,000"
